date,close,open,high,low,amt,MA5,MA10,MA20,DIF,DEA,MACD,K,D,J,RSI,WR,WR1,BIAS1,BIAS2,BIAS3,PSY,PSYMA,CCI,ATR,BBI
20221115,"3,134.08","3,081.14","3,135.59","3,074.50",33.15,3077.814,3060.336,3021.8285,5.78,-13.143,37.847,85.92272347,79.39821434,98.97174173,54.433,0.836,1.339,1.902,3.134,3.477,50,43.056,109.7082941,51.9065,3059.462125
20221116,"3,119.98","3,133.65","3,145.75","3,115.35",30.34,3092.176,3071.997,3025.6085,10.347,-8.445,37.584,84.84035906,81.21226258,92.09655203,53.207,15.337,20.968,1.139,2.036,2.864,50,44.444,108.2171452,51.576,3070.162125
20221117,"3,115.43","3,110.96","3,115.44","3,087.17",28.7,3108.036,3083.759,3029.6275,13.444,-4.068,35.023,81.67008478,81.36486998,82.28051438,52.807,20.383,24.67,0.626,1.483,2.653,41.667,44.444,77.40999473,50.388,3079.685
20221118,"3,097.24","3,116.73","3,126.71","3,096.89",30,3110.026,3086.403,3032.543,14.266,-0.401,29.334,74.62301828,79.11758608,65.63388267,51.2,39.471,64.294,-0.29,0.634,2.036,33.333,43.056,74.10218022,50.456,3081.84575
20221121,"3,085.04","3,078.06","3,085.24","3,056.17",25.6,3110.354,3087.125,3037.917,13.775,2.434,22.681,66.6160507,74.95040762,49.94733686,50.133,49.398,67.772,-0.67,0.002,1.629,33.333,41.667,11.26646736,47.547,3082.001125
20221122,"3,088.94","3,084.23","3,118.12","3,076.32",32.76,3101.326,3089.57,3043.55,13.544,4.656,17.775,62.33584286,70.7455527,45.51642318,50.477,46.225,63.418,-0.574,0.079,1.695,33.333,40.278,41.51001859,46.764,3081.810625
20221123,"3,096.91","3,084.74","3,108.24","3,075.32",32.62,3096.712,3094.444,3048.4205,13.844,6.494,14.701,56.71686242,66.06932261,38.01194205,51.196,39.74,54.521,-0.119,0.286,1.871,33.333,37.5,27.78960734,45.8065,3081.849708
20221124,"3,089.31","3,104.10","3,113.24","3,084.86",26.75,3091.488,3099.762,3053.741,13.316,7.858,10.915,50.14286325,60.76050282,28.90758412,50.467,63.005,53.02,-0.199,-0.028,1.551,33.333,34.722,28.17084468,45.447,3082.774833
20221125,"3,101.69","3,085.46","3,111.42","3,077.97",31.14,3092.378,3101.202,3063.029,13.738,9.034,9.407,50.36688018,57.29596194,36.50871667,51.638,49.185,35.469,0.275,0.228,1.785,41.667,34.722,28.14738907,43.4235,3086.701833
20221128,"3,078.55","3,055.29","3,080.18","3,034.70",30.58,3091.08,3100.717,3072.2825,12.065,9.64,4.85,46.74015935,53.77736108,32.6657559,49.362,60.513,47.435,-0.373,-0.633,0.884,41.667,36.111,-92.42627936,44.727,3087.590208
20221129,"3,149.75","3,096.11","3,152.00","3,096.11",39.15,3103.242,3102.284,3081.31,16.298,10.972,10.652,63.85405338,57.13625851,77.28964311,55.638,1.918,1.918,1.577,1.495,3.006,41.667,37.5,152.020122,44.6135,3098.88125
20221130,"3,151.34","3,141.40","3,158.57","3,137.37",37.27,3114.128,3105.42,3088.7085,19.555,12.688,13.732,73.95711414,62.74321039,96.38492164,55.766,5.837,5.837,1.288,1.361,2.822,50,40.278,181.7449839,42.4685,3108.883792
20221201,"3,165.47","3,187.99","3,198.41","3,164.53",38.7,3129.36,3110.424,3097.0915,23.011,14.753,16.516,75.93109423,67.13917167,93.51493936,56.916,20.121,20.121,1.37,1.73,2.934,50,43.056,202.8175922,43.522,3121.7335
20221202,"3,156.14","3,160.58","3,170.90","3,149.84",30.78,3140.25,3116.314,3101.3585,24.712,16.745,15.935,75.34738027,69.8752412,86.29165841,55.914,25.82,25.82,0.712,1.332,2.267,50,45.833,119.8095918,40.3455,3126.870667
20221205,"3,211.81","3,181.92","3,213.44","3,177.06",44.74,3166.902,3128.991,3108.058,30.204,19.437,21.535,83.26094047,74.33714096,101.1085395,60.269,0.912,0.912,1.892,2.854,3.731,58.333,48.611,167.5263491,41.524,3140.180958
20221206,"3,212.53","3,200.27","3,224.82","3,195.08",37.36,3179.458,3141.35,3115.46,34.22,22.393,23.654,86.68584754,78.45337649,103.1507897,60.322,6.464,9.549,1.198,2.562,3.463,66.667,52.778,145.0967166,41.47,3153.9375
20221207,"3,199.62","3,204.94","3,226.08","3,188.67",35.41,3189.114,3151.621,3123.0325,35.947,25.104,21.686,86.51526632,81.1406731,97.26445277,58.856,13.826,29.828,0.528,1.839,2.769,66.667,56.944,110.675638,41.954,3163.918958
20221208,"3,197.35","3,196.02","3,206.72","3,187.26",32.1,3195.49,3162.425,3131.0935,36.709,27.425,18.568,86.00617156,82.76250592,92.49350283,58.594,15.012,37.684,0.215,1.475,2.522,58.333,58.333,83.65641798,41.661,3168.904833
20221209,"3,206.95","3,197.12","3,212.11","3,182.91",0.37,3205.652,3172.951,3137.0765,37.654,29.471,16.366,85.76452062,83.76317749,89.76720689,59.39,9.996,25.092,0.299,1.484,2.653,58.333,59.722,78.32978649,39.0405,3173.956417
20221212,"3,179.04","3,195.87","3,196.72","3,176.58",33.34,3199.098,3183,3141.8585,35.738,30.724,10.028,72.83410832,80.12015443,58.26201611,56.119,36.193,95.03,-0.693,0.364,1.604,58.333,61.111,46.41078905,38.2495,3176.260458
20221213,"3,176.33","3,179.44","3,187.20","3,171.48",28.58,3191.858,3185.658,3143.971,33.614,31.302,4.624,60.13791902,73.45940929,33.49493846,55.807,56.082,91.117,-0.594,0.082,1.345,50,59.722,30.75811565,35.981,3175.113583
20221214,"3,176.53","3,178.55","3,189.83","3,168.59",26.56,3187.24,3188.177,3146.7985,31.583,31.358,0.449,51.76123597,66.22668485,22.83033821,55.826,64.992,86.189,-0.401,-0.169,1.162,58.333,58.333,23.54046927,35.523,3173.826708
20221215,"3,168.65","3,177.20","3,179.10","3,158.45",24.3,3181.5,3188.495,3149.4595,29.003,30.887,-3.769,39.53484537,57.32940503,3.945726065,54.863,75.328,80.991,-0.487,-0.466,0.803,50,55.556,-7.685144077,34.915,3172.729458
20221216,"3,167.86","3,156.14","3,175.35","3,151.61",25.98,3173.682,3189.667,3152.9905,26.588,30.027,-6.879,33.63018607,49.42966537,2.031227461,54.764,78.179,73.14,-0.358,-0.534,0.665,41.667,52.778,-52.53183518,34.611,3172.021792
20221219,"3,107.11","3,165.31","3,170.26","3,096.10",27.85,3159.296,3179.197,3154.094,19.547,27.931,-16.769,25.24363536,41.36765537,-7.004404668,47.844,91.529,89.058,-1.754,-2.292,-1.23,33.333,48.611,-196.4618506,36.2655,3161.136833
20221220,"3,073.77","3,098.95","3,100.75","3,061.51",21.88,3138.784,3165.321,3153.3355,11.148,24.575,-26.854,19.54268032,34.09266369,-9.557286407,44.616,92.55,90.446,-2.266,-3.131,-2.23,33.333,44.444,-258.4640386,36.4555,3146.93825
20221221,"3,068.41","3,078.33","3,085.80","3,060.55",18.91,3117.16,3152.2,3151.9105,4.013,20.462,-32.899,14.75714186,27.64748974,-11.02355392,44.116,94.814,93.92,-1.875,-2.935,-2.34,25,40.278,-190.7052416,36.072,3130.810333
20221222,"3,054.43","3,085.80","3,096.24","3,044.60",22.36,3094.316,3137.908,3150.1665,-2.738,15.822,-37.121,11.9920958,22.42902509,-8.881762795,42.812,94.132,92.691,-1.683,-2.972,-2.73,16.667,33.333,-147.9050532,37.235,3117.603083
20221223,"3,045.87","3,038.84","3,061.87","3,031.54",19.2,3069.918,3121.8,3147.3755,-8.679,10.922,-39.202,11.01239853,18.6234829,-4.209770233,42.019,91.325,90.035,-1.308,-2.849,-2.952,16.667,27.778,-133.9179279,37.079,3106.261375
20221226,"3,065.56","3,048.20","3,071.84","3,047.35",20.65,3061.608,3110.452,3146.726,-11.664,6.405,-36.138,14.50566497,17.25087693,9.015241061,44.489,78.508,75.476,-0.118,-1.877,-2.294,25,25,-93.93909545,35.028,3098.853375
20221227,"3,095.57","3,077.75","3,098.08","3,074.31",22.22,3065.968,3102.376,3144.017,-11.476,2.829,-28.609,24.13461608,19.54545664,33.31293495,48.011,59.549,7.484,0.923,-0.621,-1.336,25,23.611,-50.69157861,32.9815,3098.803208
20221228,"3,087.40","3,088.62","3,098.65","3,079.43",22.46,3069.766,3093.463,3140.82,-11.849,-0.107,-23.485,29.0373833,22.7094322,41.69328551,47.161,62.144,16.764,0.582,-0.64,-1.594,25,22.222,-44.08648852,32.8825,3100.123542
20221229,"3,073.70","3,076.73","3,086.00","3,064.46",21.56,3073.62,3083.968,3136.2315,-13.1,-2.706,-20.788,29.48897449,24.96927963,38.52836421,45.744,70.684,37.178,0.107,-0.808,-1.994,25,22.222,-54.39708567,31.676,3097.737042
20221230,"3,089.26","3,084.52","3,096.31","3,082.20",21.75,3082.298,3076.108,3132.8875,-12.689,-4.702,-15.973,47.45876727,32.46577551,77.4447508,47.609,58.391,13.992,0.424,-0.071,-1.512,25,23.611,-26.82641936,31.7535,3096.008333
20230103,"3,116.51","3,087.51","3,119.86","3,073.05",28.14,3092.488,3077.048,3128.1225,-10.049,-5.772,-8.554,63.70816973,42.87990691,105.3646954,50.707,3.793,4.62,0.923,0.952,-0.599,33.333,26.389,5.490283988,31.229,3099.1
20230104,"3,123.52","3,117.57","3,129.09","3,109.45",27.33,3098.078,3082.023,3123.672,-7.306,-6.079,-2.456,73.90214903,53.22065429,115.2651385,51.477,5.71,8.618,0.835,1.3,-0.339,41.667,29.167,56.83185897,30.724,3103.630292
20230105,"3,155.22","3,132.76","3,159.43","3,130.23",25.7,3111.642,3090.704,3121.452,-2.546,-5.372,5.652,81.50413553,62.64848137,119.2154439,54.809,3.292,4.433,1.532,2.196,0.686,50,33.333,133.0658905,30.649,3112.059667
20230106,"3,157.64","3,155.07","3,170.74","3,151.84",25.74,3128.43,3101.025,3119.4665,1.406,-4.016,10.845,84.13050913,69.80915729,112.7732128,55.055,9.411,12.326,1.229,2.043,0.761,58.333,38.889,165.9797631,30.621,3119.66475
20230109,"3,176.08","3,169.37","3,183.58","3,165.43",25.81,3145.794,3114.046,3117.923,5.957,-2.022,15.958,87.32161545,75.64664334,110.6715597,56.918,5.505,6.785,1.266,2.342,1.398,66.667,45.833,165.5303093,30.458,3130.167833
20230110,"3,169.51","3,178.02","3,178.16","3,165.14",23.3,3156.394,3124.441,3117.4465,8.931,0.169,17.524,87.61053745,79.63460805,103.5623963,56.054,11.812,12.73,0.627,1.816,1.246,66.667,52.778,122.8458282,29.5905,3136.980792
20230111,"3,161.84","3,172.38","3,184.76","3,160.89",23.77,3164.058,3131.068,3116.722,10.547,2.244,16.605,85.38956861,81.55292823,93.06284936,55.037,19.052,30.434,0.144,1.255,1.052,66.667,58.333,97.82562086,29.998,3141.454458
20230112,"3,163.45","3,167.27","3,171.59","3,153.40",21.67,3165.704,3138.673,3116.068,11.822,4.16,15.323,83.90098594,82.33561414,87.03172955,55.215,17.714,39.079,-0.016,1.043,1.149,66.667,62.5,74.53509569,29.8455,3143.941583
20230113,"3,195.31","3,170.35","3,195.31","3,167.51",22.02,3173.238,3150.834,3117.401,15.227,6.373,17.707,89.26732396,84.64618408,98.50960373,58.601,0,0,0.778,1.79,2.184,66.667,65.278,98.44977356,30.406,3150.173167
20230116,"3,227.59","3,198.52","3,251.37","3,197.32",30.67,3183.54,3164.667,3120.3875,20.297,9.158,22.277,87.25957636,85.51731484,90.74409941,61.665,13.336,24.273,1.423,2.437,3.149,75,68.056,144.1150406,32.022,3162.234167
